Name,ID,Married,Gen,Dept,Rate,training hours,Posi,Posit,Sta,DOB,Sex,CitizenDesc,RaceDesc,Department
"Brown, Mia",1103024456,1,0,1,28.5,4,1,Accountant I,MA,11/24/87,F,1,2,Admin Offices
"LaRotonda, William  ",1106026572,0,1,1,23,5,1,Accountant I,MA,04/26/84,M ,0,2,Admin Offices
"Steans, Tyrone  ",1302053333,0,1,1,29,7,1,Accountant I,MA,09/01/86,M ,1,1,Admin Offices
"Howard, Estelle",1211050782,1,0,1,21.5,4,2,Administrative Assistant,MA,09/16/85,F,1,1,Admin Offices
"Singh, Nan ",1307059817,0,0,1,16.56,1,2,Administrative Assistant,MA,05/19/88,F,1,1,Admin Offices
"Smith, Leigh Ann",711007713,1,0,1,20.5,2,2,Administrative Assistant,MA,06/14/87,F,1,3,Admin Offices
"Bunbury, Jessica",1504073368,1,0,6,55,5,3,Area Sales Manager,VA,06/01/64,F,1,2,Sales
"Carter, Michelle ",1403065721,0,0,6,55,4,3,Area Sales Manager,VT,05/15/63,F,1,1,Sales
"Dietrich, Jenna  ",1408069481,0,0,6,55,6,3,Area Sales Manager,WA,05/14/87,F,1,1,Sales
"Digitale, Alfred",1306059197,1,1,6,56,1,3,Area Sales Manager,NH,09/14/88,M ,1,1,Sales
"Friedman, Gerry",1204032843,0,1,6,55.5,3,3,Area Sales Manager,NY,02/24/69,M ,1,3,Sales
"Gill, Whitney  ",1302053046,0,0,6,55,2,3,Area Sales Manager,OH,07/10/71,F,1,2,Sales
"Gonzales, Ricardo",1411071481,1,1,6,55.5,5,3,Area Sales Manager,ID,10/12/54,M ,1,1,Sales
"Guilianno, Mike",1001167253,0,1,6,55,4,3,Area Sales Manager,TN,02/09/69,M ,1,2,Sales
"Leruth, Giovanni",1412071660,0,1,6,55,1,3,Area Sales Manager,UT,12/27/88,M ,1,2,Sales
"Mullaney, Howard",1306057978,0,1,6,55,5,3,Area Sales Manager,AL,11/02/75,M ,1,3,Sales
"Ozark, Travis",812011761,0,1,6,55,6,3,Area Sales Manager,NC,05/19/82,M ,1,1,Sales
"Strong, Caitrin",1411071295,1,0,6,54,8,3,Area Sales Manager,MT,05/12/89,F,1,2,Sales
"Valentin,Jackie",1312063714,1,0,6,55,aasdaa,3,Area Sales Manager,AZ,05/23/91,F,1,3,Sales
"Villanueva, Noah",1111030503,0,1,6,56,8h,3,Area Sales Manager,ME,07/11/89,M ,1,3,Sales
"Buck, Edward",1504073313,1,1,6,55,1,3,Area Sales Manager,MA,07/07/75,M ,1,1,Sales
"Costa, Latia",1409070567,0,0,6,55,55,3,Area Sales Manager,CA,11/08/88,F,1,1,Sales
"Fraval, Maruk ",1411071302,0,1,6,55,2,3,Area Sales Manager,CT,08/28/63,M ,1,2,Sales
"Givens, Myriam",1203032099,0,0,6,55,4,3,Area Sales Manager,IN,09/22/89,F,1,1,Sales
Jeremy Prater,1001084890,1,1,6,56,4,3,Area Sales Manager,NV,05/09/74,M ,1,1,Sales
"Khemmich, Bartholemew",1104025008,0,1,6,55,5,3,Area Sales Manager,CO,11/27/79,M ,0,1,Sales
"Martins, Joseph",1209048771,0,1,6,56,1,3,Area Sales Manager,TX,06/11/70,M ,0,2,Sales
"McKinzie, Jac",1209049326,1,1,6,55,3,3,Area Sales Manager,TX,07/01/84,M ,1,2,Sales
"Nguyen, Dheepa",1111030684,0,0,6,55,5,3,Area Sales Manager,GA,03/31/89,F,1,2,Sales
"Onque, Jasmine",1501072180,0,0,6,57,6,3,Area Sales Manager,FL,05/11/90,F,1,1,Sales
"Potts, Xana",1102024106,1,0,6,55,1,3,Area Sales Manager,KY,08/29/88,F,1,2,Sales
"Riordan, Michael",1502072711,0,1,6,55,2,3,Area Sales Manager,ND,01/15/68,M ,1,1,Sales
"Terry, Sharlene ",1401064637,0,0,6,55,4,3,Area Sales Manager,OR,05/07/65,F,1,2,Sales
"Rachael, Maggie",1009919940,1,0,3,45,5,4,BI Developer,MA,05/12/80,F,1,2,IT/IS
"Smith, Jason",1009919980,0,1,3,46,4,4,BI Developer,MA,09/04/83,M ,1,1,IT/IS
"Westinghouse, Matthew",1009919990,1,1,3,45,1,4,BI Developer,MA,10/24/87,M ,1,1,IT/IS
"Hubert, Robert",1009920000,1,1,3,45,4,4,BI Developer,MA,06/30/89,M ,1,1,IT/IS
"Champaigne, Brian",1009919920,1,1,3,63.5,1,5,BI Director,MA,02/09/72,M ,1,1,IT/IS
"Zamora, Jennifer",1112030816,0,0,3,65,5,6,CIO,MA,08/30/79,F,1,1,IT/IS
"Roper, Katie",1009919950,0,0,3,55,4,7,Data Architect,MA,11/21/72,F,1,1,IT/IS
